date,close
2014-12-09,2.5
2014-12-10,2.5
2014-12-11,2.5
2014-12-12,2.5
2014-12-13,2.5
2014-12-14,2.5
2014-12-15,2.5
2014-12-16,1.6
2014-12-17,1.6
2014-12-18,1.6
2014-12-19,1.6
2014-12-20,1.6
2014-12-21,1.6
2014-12-22,1.6
2014-12-23,1.6
2014-12-24,1.6
2014-12-25,1.6
2014-12-26,1.99
2014-12-27,1.65
2014-12-28,1.65
2014-12-29,1.65
2014-12-30,1.65
2014-12-31,1.6
2015-01-01,1.6
2015-01-02,1.72
2015-01-03,1.72
2015-01-04,1.72
2015-01-05,1.6
2015-01-06,1.6
2015-01-07,1.6
2015-01-08,1.6
2015-01-09,1.6
2015-01-10,1.6
2015-01-11,1.5
2015-01-12,1.5
2015-01-13,1.5
2015-01-14,1.5
2015-01-15,1.5
2015-01-16,1.5
2015-01-17,1.5
2015-01-18,1.5
2015-01-19,1.5
2015-01-20,1.5
2015-01-21,1.11
2015-01-22,1.11
2015-01-23,1.11
2015-01-24,1.11
2015-01-25,1.8
2015-01-26,1.8
2015-01-27,1.8
2015-01-28,1.9
2015-01-29,1.9
2015-01-30,1.9
2015-01-31,1.9
2015-02-01,1.9
2015-02-02,1.9
2015-02-03,1.9
2015-02-04,1.33
2015-02-05,1.89
2015-02-06,1.89
2015-02-07,2.0
2015-02-08,2.0
2015-02-09,2.0
2015-02-10,2.0
2015-02-11,2.7
2015-02-12,2.7
2015-02-13,2.7
2015-02-14,1.7
2015-02-15,1.7
2015-02-16,1.7
2015-02-17,10.0
2015-02-18,10.0
2015-02-19,2.5
2015-02-20,1.7
2015-02-21,1.7
2015-02-22,1.7
2015-02-23,1.7
2015-02-24,2.9
2015-02-25,2.9
2015-02-26,2.9
2015-02-27,3.68
2015-02-28,3.0
2015-03-01,3.0
2015-03-02,1.7
2015-03-03,3.5
2015-03-04,3.5
2015-03-05,3.5
2015-03-06,3.5
2015-03-07,3.5
2015-03-08,1.95
2015-03-09,3.36
2015-03-10,3.53
2015-03-11,2.3
2015-03-12,2.3
2015-03-13,4.0
2015-03-14,2.3
2015-03-15,2.3
2015-03-16,2.3
2015-03-17,2.3
2015-03-18,4.0
2015-03-19,3.5
2015-03-20,3.5
2015-03-21,4.0
2015-03-22,5.99
2015-03-23,3.3
2015-03-24,3.3
2015-03-25,5.16
2015-03-26,4.95
2015-03-27,4.78
2015-03-28,5.1
2015-03-29,4.8
2015-03-30,4.5
2015-03-31,4.16
2015-04-01,3.82
2015-04-02,4.41
2015-04-03,4.35
2015-04-04,4.33
2015-04-05,4.12
2015-04-06,4.13
2015-04-07,3.75
2015-04-08,3.81
2015-04-09,3.42
2015-04-10,3.52
2015-04-11,3.47
2015-04-12,3.66
2015-04-13,3.41
2015-04-14,2.4
2015-04-15,2.41
2015-04-16,5.9
2015-04-17,2.42
2015-04-18,2.42
2015-04-19,2.41
2015-04-20,2.41
2015-04-21,2.41
2015-04-22,2.41
2015-04-23,3.7
2015-04-24,3.3
2015-04-25,3.15
2015-04-26,3.05
2015-04-27,3.03
2015-04-28,2.95
2015-04-29,2.97
2015-04-30,3.0
2015-05-01,2.83
2015-05-02,2.87
2015-05-03,2.72
2015-05-04,2.85
2015-05-05,2.85
2015-05-06,2.9
2015-05-07,2.75
2015-05-08,2.82
2015-05-09,2.7
2015-05-10,2.75
2015-05-11,2.65
2015-05-12,2.8
2015-05-13,2.7
2015-05-14,2.9
2015-05-15,3.0
2015-05-16,3.05
2015-05-17,1.38
2015-05-18,2.9
2015-05-19,2.8
2015-05-20,2.95
2015-05-21,2.8
