,close,high,low,open,time,volumefrom,volumeto
0,2.5,2.5,2.5,2.5,1418083200,0.0,0.0
1,2.5,2.5,2.5,2.5,1418169600,0.0,0.0
2,2.5,2.5,2.5,2.5,1418256000,0.0,0.0
3,2.5,2.5,2.5,2.5,1418342400,0.0,0.0
4,2.5,2.5,2.5,2.5,1418428800,0.0,0.0
5,2.5,2.5,2.5,2.5,1418515200,0.0,0.0
6,2.5,2.5,2.5,2.5,1418601600,0.0,0.0
7,1.6,2.5,1.6,2.5,1418688000,0.0006312,0.00101
8,1.6,1.6,1.6,1.6,1418774400,0.0,0.0
9,1.6,1.6,1.6,1.6,1418860800,0.0,0.0
10,1.6,1.6,1.6,1.6,1418947200,0.0,0.0
11,1.6,1.6,1.6,1.6,1419033600,0.0,0.0
12,1.6,1.6,1.6,1.6,1419120000,0.02773,0.04436
13,1.6,1.6,1.6,1.6,1419206400,0.002299,0.003679
14,1.6,1.6,1.6,1.6,1419292800,0.0,0.0
15,1.6,1.6,1.6,1.6,1419379200,0.0,0.0
16,1.6,1.6,1.6,1.6,1419465600,0.0,0.0
17,1.99,1.99,1.6,1.6,1419552000,0.08332,0.1658
18,1.65,1.99,1.65,1.99,1419638400,0.01018,0.01693
19,1.65,1.65,1.65,1.65,1419724800,0.0,0.0
20,1.65,1.65,1.65,1.65,1419811200,0.0,0.0
21,1.65,1.65,1.65,1.65,1419897600,0.0,0.0
22,1.6,1.65,1.6,1.65,1419984000,0.0001,0.00016
23,1.6,1.6,1.6,1.6,1420070400,0.0,0.0
24,1.72,1.72,1.6,1.6,1420156800,0.008066,0.01387
25,1.72,1.72,1.72,1.72,1420243200,0.0,0.0
26,1.72,1.72,1.72,1.72,1420329600,2.99,5.14
27,1.6,1.72,1.6,1.72,1420416000,0.01572,0.02554
28,1.6,1.6,1.6,1.6,1420502400,0.0,0.0
29,1.6,1.6,1.6,1.6,1420588800,0.0,0.0
30,1.6,1.6,1.6,1.6,1420675200,0.0,0.0
31,1.6,1.6,1.6,1.6,1420761600,0.0,0.0
32,1.6,1.6,1.6,1.6,1420848000,0.0,0.0
33,1.5,1.96,1.5,1.6,1420934400,0.2281,0.355
34,1.5,1.5,1.5,1.5,1421020800,0.0,0.0
35,1.5,1.5,1.5,1.5,1421107200,0.1671,0.2506
36,1.5,1.5,1.5,1.5,1421193600,0.6327,0.949
37,1.5,1.5,1.5,1.5,1421280000,0.0,0.0
38,1.5,1.5,1.5,1.5,1421366400,0.0,0.0
39,1.5,1.5,1.5,1.5,1421452800,0.0,0.0
40,1.5,1.5,1.5,1.5,1421539200,0.0,0.0
41,1.5,1.5,1.5,1.5,1421625600,0.0,0.0
42,1.5,1.5,1.5,1.5,1421712000,0.0,0.0
43,1.11,1.5,1.11,1.5,1421798400,0.007493,0.008317
44,1.11,1.11,1.11,1.11,1421884800,0.0,0.0
45,1.11,1.11,1.11,1.11,1421971200,0.002128,0.002362
46,1.11,1.11,1.11,1.11,1422057600,0.0,0.0
47,1.8,1.8,1.11,1.11,1422144000,0.8422,1.52
48,1.8,1.8,1.8,1.8,1422230400,0.0,0.0
49,1.8,1.8,1.8,1.8,1422316800,0.0,0.0
50,1.9,1.9,1.8,1.8,1422403200,0.004252,0.008078
51,1.9,1.9,1.9,1.9,1422489600,0.02064,0.03922
52,1.9,1.9,1.33,1.9,1422576000,0.02164,0.03843
53,1.9,1.9,1.9,1.9,1422662400,0.05439,0.1033
54,1.9,1.9,1.9,1.9,1422748800,0.01452,0.02759
55,1.9,1.9,1.9,1.9,1422835200,0.0,0.0
56,1.9,1.9,1.9,1.9,1422921600,0.0,0.0
57,1.33,1.9,1.33,1.9,1423008000,0.002025,0.002693
58,1.89,1.96,1.33,1.33,1423094400,3.11,6.01
59,1.89,1.89,1.89,1.89,1423180800,0.001739,0.003287
60,2.0,2.0,1.33,1.89,1423267200,0.0047,0.00873
61,2.0,2.0,2.0,2.0,1423353600,0.0,0.0
62,2.0,2.0,1.55,2.0,1423440000,2.99,5.97
63,2.0,2.0,2.0,2.0,1423526400,0.0,0.0
64,2.7,2.88,2.0,2.0,1423612800,1.2,3.02
65,2.7,2.7,2.7,2.7,1423699200,0.0,0.0
66,2.7,2.7,2.7,2.7,1423785600,0.0,0.0
67,1.7,2.7,1.7,2.7,1423872000,0.0056,0.00952
68,1.7,1.7,1.7,1.7,1423958400,0.001222,0.002077
69,1.7,2.0,1.7,1.7,1424044800,0.001866,0.003227
70,10.0,10.0,2.9,2.9,1424131200,0.001992,0.01992
71,10.0,10.0,10.0,10.0,1424217600,0.0,0.0
72,2.5,2.5,1.7,1.7,1424304000,0.0006,0.0015
73,1.7,2.5,1.7,2.5,1424390400,0.006,0.0102
74,1.7,1.7,1.7,1.7,1424476800,0.0,0.0
75,1.7,1.7,1.7,1.7,1424563200,0.0,0.0
76,1.7,1.7,1.7,1.7,1424649600,0.00336,0.005712
77,2.9,10.0,2.9,10.0,1424736000,0.2407,0.4188
78,2.9,2.9,2.9,2.9,1424822400,0.0,0.0
